subfolder,file,path,composite,themes_hit,score_a,score_b,score_c,hits_a,hits_b,hits_c
D,Nakagawa_2025_Poor_Hypotheses_And_Research_Waste_In_Biology.pdf,pdfs\D\Nakagawa_2025_Poor_Hypotheses_And_Research_Waste_In_Biology.pdf,75,3,13,49,4,epistemolog; replicab; transparency; pre-registr; research practice,pre-registration; pre-register; registered report; replication crisis; p-hacking; researcher degrees of freedom,disclose; peer review
D,Applicable_2023_Meta_psychology_2023_Vol_7_Mp20223271.pdf,pdfs\D\Applicable_2023_Meta_psychology_2023_Vol_7_Mp20223271.pdf,71,3,13,45,4,reproducib; replicab; transparency; preregistr; research practice,preregistration; registered report; open science; publication bias; file drawer; questionable research practice,editor; journal editor
D,Mendes_2023_Rae_revista_De_Administracao_De_Empresas_Fgv_Eaesp.pdf,pdfs\D\Mendes_2023_Rae_revista_De_Administracao_De_Empresas_Fgv_Eaesp.pdf,65,3,7,33,16,transparency; pre-registr; research practice,pre-registration; pre-register; open science; p-hacking; harking; open data,editorial policy; cope; committee on publication ethics; peer review; editor
D,Penders_2022_Process_And_Bureaucracy_Scientific_Reform_As_Civilisation.pdf,pdfs\D\Penders_2022_Process_And_Bureaucracy_Scientific_Reform_As_Civilisation.pdf,63,3,19,31,4,epistemic; epistemolog; reproducib; replicab; transparency; preregistr,preregistration; registered report; open science; osf; epistemic; epistemolog,editor; retraction
D,Sociologist_2023_The_American_Sociologist_2023_54193210.pdf,pdfs\D\Sociologist_2023_The_American_Sociologist_2023_54193210.pdf,63,3,14,29,11,reproducib; replicab; transparency; pre-registr; preregistr,pre-registration; preregistration; registered report; open science; replication crisis; transparency,editor; retraction; correction; sociological; sociology journal
D,Unknown_2021_Meta_psychology_2021_Vol_5_Mp20202625.pdf,pdfs\D\Unknown_2021_Meta_psychology_2021_Vol_5_Mp20202625.pdf,63,3,8,43,3,reproducib; transparency; preregistr,preregistration; registered report; replication crisis; publication bias; p-hacking; researcher degrees of freedom,disclose; editor
A,Adjovi_2025_A_Worldwide_Itinerary_Of_Research_Ethics_In.pdf,pdfs\A\Adjovi_2025_A_Worldwide_Itinerary_Of_Research_Ethics_In.pdf,61,3,7,31,14,reproducib; transparency; research practice,open science; replication crisis; publication bias; questionable research practice; data sharing; research integrity,cope; academic integrity; research misconduct; plagiarism; peer review
D,Jensen_2025_377_Belardinelli.pdf,pdfs\D\Jensen_2025_377_Belardinelli.pdf,61,2,14,39,2,epistemic; reproducib; replicab; transparency; pre-registr,pre-registration; pre-register; open science; reproducibility crisis; publication bias; p-hacking,disclose
D,Datta_etal_2024_Toward_Open_Science.pdf,pdfs\D\Datta_etal_2024_Toward_Open_Science.pdf,60,3,13,33,5,reproducib; replicab; transparency; preregistr; research practice,preregistration; open science; publication bias; file drawer; p-hacking; open data,disclose; cope
G,10.31222_osf.io_n5zkw.pdf,pdfs\G\10.31222_osf.io_n5zkw.pdf,60,2,19,35,0,epistemic; epistemolog; reproducib; replicab; transparency; preregistr,preregistration; open science; open research; reproducibility crisis; questionable research practice; data sharing,
G,Writing_etal_2026_Jle_Vol_11_No_4_2025.pdf,pdfs\G\Writing_etal_2026_Jle_Vol_11_No_4_2025.pdf,60,3,12,11,28,human verification; human oversight; transparency; generative ai; chatgpt; scholarly writing,knowledge production; validity; research integrity; transparency,disclosure of ai; cope; committee on publication ethics; icmje; academic integrity; peer review
pdfs_manualy_supplemented,daVeiga_2025_Ethical_Guidelines_Generative_AI_Scholarly_Publishing.pdf,pdfs\pdfs_manualy_supplemented\daVeiga_2025_Ethical_Guidelines_Generative_AI_Scholarly_Publishing.pdf,59,3,11,6,33,human oversight; ai in research; transparency; generative ai; large language model; llm,research integrity; transparency,ai policy; generative ai policy; author guidelines; disclose; cope; committee on publication ethics
C,Journal_2026_Httpsdoiorg101007s41471_025_00218_5.pdf,pdfs\C\Journal_2026_Httpsdoiorg101007s41471_025_00218_5.pdf,58,3,17,29,3,epistemolog; reproducib; replicab; transparency; preregistr; llm,preregistration; registered report; open science; replication crisis; preprint; epistemolog,peer review; editor
G,Quarterly_2025_Management_Review_Quarterly.pdf,pdfs\G\Quarterly_2025_Management_Review_Quarterly.pdf,57,2,29,22,0,human verification; human oversight; ai-assisted research; ai in research; epistemic; epistemolog,epistemic; epistemolog; knowledge production; validity; research integrity; systematic review,
D,Silverstein_2024_A_Guide_For_Social_Science_Journal_Editors.pdf,pdfs\D\Silverstein_2024_A_Guide_For_Social_Science_Journal_Editors.pdf,56,3,8,27,12,reproducib; replicab; research practice,open science; open research; publication bias; preprint; osf; knowledge production,peer review; editor; scholarly publishing; social science journal; journal editor
D,AlHoorie_2021_Open_Science_In_Applied_Linguistics_An_Introduction.pdf,pdfs\D\AlHoorie_2021_Open_Science_In_Applied_Linguistics_An_Introduction.pdf,55,3,5,30,11,reproducib; transparency,registered report; open science; open research; replication crisis; preprint; validity,cope; peer review; editor; retraction; correction
D,Bochynska_2023_Reproducible_Research_Practices_And_Transparency_Across_Ling.pdf,pdfs\D\Bochynska_2023_Reproducible_Research_Practices_And_Transparency_Across_Ling.pdf,55,2,13,34,2,reproducib; replicab; transparency; preregistr; research practice,preregistration; open science; reproducibility crisis; researcher degrees of freedom; harking; open data,disclose
D,Nakagawa_2024_Untitled.pdf,pdfs\D\Nakagawa_2024_Untitled.pdf,55,2,8,39,2,replicab; pre-registr; research practice,pre-registration; pre-register; registered report; replication crisis; publication bias; questionable research practice,peer review
D,Started_XXXX_The_Use_And_Acceptability_Of_Preprints_In.pdf,pdfs\D\Started_XXXX_The_Use_And_Acceptability_Of_Preprints_In.pdf,55,3,5,25,16,pre-registr; research practice,pre-registration; open science; open research; open data; data sharing; code sharing,submission guidelines; cope; peer review; editorial board; editor; retraction
D,Editors_XXXX_Full_Guide_A_Guide_For_Social_Science.pdf,pdfs\D\Editors_XXXX_Full_Guide_A_Guide_For_Social_Science.pdf,54,3,5,21,19,transparency; preregistr,preregistration; registered report; open science; open data; preprint; transparency,submission guidelines; disclose; peer review; editor; retraction; correction
D,al_2024_Vis_Repligogy.pdf,pdfs\D\al_2024_Vis_Repligogy.pdf,53,2,14,31,2,epistemolog; reproducib; replicab; transparency; pre-registr,pre-registration; registered report; open science; replication crisis; preprint; osf,peer review
D,Pownall_etal_2021_Embedding_Open_And_Reproducible_Science_Into_Teaching.pdf,pdfs\D\Pownall_etal_2021_Embedding_Open_And_Reproducible_Science_Into_Teaching.pdf,53,2,11,35,1,epistemolog; reproducib; replicab; research practice,open science; open research; replication crisis; p-hacking; questionable research practice; open data,editor
D,Article_2022_Meta_psychology_2022_Vol_6_Mp20202601.pdf,pdfs\D\Article_2022_Meta_psychology_2022_Vol_6_Mp20202601.pdf,52,2,11,34,1,reproducib; replicab; preregistr; research practice,preregistration; replication crisis; researcher degrees of freedom; questionable research practice; qrp; open data,editor
D,Economicus_etal_2023_.pdf,pdfs\D\Economicus_etal_2023_.pdf,51,2,11,32,2,reproducib; transparency; pre-registr; preregistr,pre-registration; preregistration; registered report; open science; open data; knowledge production,peer review
D,Louderback_2021_Gambling_Researchers_Use_And_Views_Of_Open.pdf,pdfs\D\Louderback_2021_Gambling_Researchers_Use_And_Views_Of_Open.pdf,51,2,10,33,2,replicab; transparency; pre-registr; research practice,pre-registration; registered report; open science; p-hacking; questionable research practice; harking,peer review
A,Researchers_2021_Frma_2020_586992_120.pdf,pdfs\A\Researchers_2021_Frma_2020_586992_120.pdf,50,2,10,33,1,reproducib; transparency; preregistr; research practice,preregistration; registered report; open science; p-hacking; questionable research practice; harking,editor
